"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2014","1,091.00","1,091.00","1,091.00","1,091.00","","-0.46%"
"02/10/2014","1,096.00","1,096.00","1,096.00","1,096.00","","0.46%"
"02/07/2014","1,091.00","1,091.00","1,091.00","1,091.00","","-0.09%"
"02/06/2014","1,092.00","1,092.00","1,092.00","1,092.00","","0.55%"
"02/05/2014","1,086.00","1,086.00","1,086.00","1,086.00","","0.18%"
"02/04/2014","1,084.00","1,084.00","1,084.00","1,084.00","","-0.82%"
"02/03/2014","1,093.00","1,093.00","1,093.00","1,093.00","","-1.53%"
"01/31/2014","1,110.00","1,110.00","1,110.00","1,110.00","","-1.51%"
"01/30/2014","1,127.00","1,127.00","1,127.00","1,127.00","","-1.83%"
"01/29/2014","1,148.00","1,148.00","1,148.00","1,148.00","","-2.46%"
"01/28/2014","1,177.00","1,177.00","1,177.00","1,177.00","","-3.29%"
"01/27/2014","1,217.00","1,217.00","1,217.00","1,217.00","","-2.33%"
"01/24/2014","1,246.00","1,246.00","1,246.00","1,246.00","","-1.97%"
"01/23/2014","1,271.00","1,271.00","1,271.00","1,271.00","","-3.86%"
"01/22/2014","1,322.00","1,322.00","1,322.00","1,322.00","","-3.43%"
"01/21/2014","1,369.00","1,369.00","1,369.00","1,369.00","","-4.13%"
"01/20/2014","1,428.00","1,428.00","1,428.00","1,428.00","","0.49%"
"01/17/2014","1,421.00","1,421.00","1,421.00","1,421.00","","1.65%"
"01/16/2014","1,398.00","1,398.00","1,398.00","1,398.00","","1.75%"
"01/15/2014","1,374.00","1,374.00","1,374.00","1,374.00","","0.29%"
"01/14/2014","1,370.00","1,370.00","1,370.00","1,370.00","","-1.79%"
"01/13/2014","1,395.00","1,395.00","1,395.00","1,395.00","","-7.74%"
"01/10/2014","1,512.00","1,512.00","1,512.00","1,512.00","","-11.37%"
"01/09/2014","1,706.00","1,706.00","1,706.00","1,706.00","","-6.57%"
"01/08/2014","1,826.00","1,826.00","1,826.00","1,826.00","","-2.67%"
"01/07/2014","1,876.00","1,876.00","1,876.00","1,876.00","","-3.84%"
"01/06/2014","1,951.00","1,951.00","1,951.00","1,951.00","","-4.17%"
"01/03/2014","2,036.00","2,036.00","2,036.00","2,036.00","","-3.64%"
"01/02/2014","2,113.00","2,113.00","2,113.00","2,113.00","","-7.20%"
"12/24/2013","2,277.00","2,277.00","2,277.00","2,277.00","","1.34%"
"12/23/2013","2,247.00","2,247.00","2,247.00","2,247.00","","1.77%"
"12/20/2013","2,208.00","2,208.00","2,208.00","2,208.00","","3.47%"
"12/19/2013","2,134.00","2,134.00","2,134.00","2,134.00","","-1.02%"
"12/18/2013","2,156.00","2,156.00","2,156.00","2,156.00","","-3.10%"
"12/17/2013","2,225.00","2,225.00","2,225.00","2,225.00","","-2.92%"
"12/16/2013","2,292.00","2,292.00","2,292.00","2,292.00","","-1.63%"
"12/13/2013","2,330.00","2,330.00","2,330.00","2,330.00","","-0.30%"
"12/12/2013","2,337.00","2,337.00","2,337.00","2,337.00","","1.65%"
"12/11/2013","2,299.00","2,299.00","2,299.00","2,299.00","","2.77%"
"12/10/2013","2,237.00","2,237.00","2,237.00","2,237.00","","2.47%"
"12/09/2013","2,183.00","2,183.00","2,183.00","2,183.00","","0.32%"
"12/06/2013","2,176.00","2,176.00","2,176.00","2,176.00","","1.45%"
"12/05/2013","2,145.00","2,145.00","2,145.00","2,145.00","","7.57%"
"12/04/2013","1,994.00","1,994.00","1,994.00","1,994.00","","3.75%"
"12/03/2013","1,922.00","1,922.00","1,922.00","1,922.00","","3.06%"
"12/02/2013","1,865.00","1,865.00","1,865.00","1,865.00","","2.42%"
"11/29/2013","1,821.00","1,821.00","1,821.00","1,821.00","","5.93%"
"11/28/2013","1,719.00","1,719.00","1,719.00","1,719.00","","9.28%"
"11/27/2013","1,573.00","1,573.00","1,573.00","1,573.00","","4.03%"
"11/26/2013","1,512.00","1,512.00","1,512.00","1,512.00","","1.34%"
"11/25/2013","1,492.00","1,492.00","1,492.00","1,492.00","","0.61%"
"11/22/2013","1,483.00","1,483.00","1,483.00","1,483.00","","-1.07%"
