date,open,high,low,close,volume,commodity
2015-01-16,741.0,741.0,741.0,741.0,0,Baltic_Dry_Index
2015-01-19,739.0,739.0,739.0,739.0,0,Baltic_Dry_Index
2015-01-20,753.0,753.0,753.0,753.0,0,Baltic_Dry_Index
2015-01-21,770.0,770.0,770.0,770.0,0,Baltic_Dry_Index
2015-01-22,751.0,751.0,751.0,751.0,0,Baltic_Dry_Index
2015-01-23,720.0,720.0,720.0,720.0,0,Baltic_Dry_Index
2015-01-26,703.0,703.0,703.0,703.0,0,Baltic_Dry_Index
2015-01-27,688.0,688.0,688.0,688.0,0,Baltic_Dry_Index
2015-01-28,666.0,666.0,666.0,666.0,0,Baltic_Dry_Index
2015-01-29,632.0,632.0,632.0,632.0,0,Baltic_Dry_Index
2015-01-30,608.0,608.0,608.0,608.0,0,Baltic_Dry_Index
2015-02-02,590.0,590.0,590.0,590.0,0,Baltic_Dry_Index
2015-02-03,577.0,577.0,577.0,577.0,0,Baltic_Dry_Index
2015-02-04,569.0,569.0,569.0,569.0,0,Baltic_Dry_Index
2015-02-05,564.0,564.0,564.0,564.0,0,Baltic_Dry_Index
2015-02-06,559.0,559.0,559.0,559.0,0,Baltic_Dry_Index
2015-02-09,554.0,554.0,554.0,554.0,0,Baltic_Dry_Index
2015-02-10,556.0,556.0,556.0,556.0,0,Baltic_Dry_Index
2015-02-11,553.0,553.0,553.0,553.0,0,Baltic_Dry_Index
2015-02-12,540.0,540.0,540.0,540.0,0,Baltic_Dry_Index
2015-02-13,530.0,530.0,530.0,530.0,0,Baltic_Dry_Index
2015-02-16,522.0,522.0,522.0,522.0,0,Baltic_Dry_Index
2015-02-17,516.0,516.0,516.0,516.0,0,Baltic_Dry_Index
2015-02-18,509.0,509.0,509.0,509.0,0,Baltic_Dry_Index
2015-02-23,512.0,512.0,512.0,512.0,0,Baltic_Dry_Index
2015-02-24,516.0,516.0,516.0,516.0,0,Baltic_Dry_Index
2015-02-25,524.0,524.0,524.0,524.0,0,Baltic_Dry_Index
2015-02-26,533.0,533.0,533.0,533.0,0,Baltic_Dry_Index
2015-02-27,540.0,540.0,540.0,540.0,0,Baltic_Dry_Index
2015-03-02,548.0,548.0,548.0,548.0,0,Baltic_Dry_Index
2015-03-03,553.0,553.0,553.0,553.0,0,Baltic_Dry_Index
2015-03-04,559.0,559.0,559.0,559.0,0,Baltic_Dry_Index
2015-03-05,561.0,561.0,561.0,561.0,0,Baltic_Dry_Index
2015-03-06,565.0,565.0,565.0,565.0,0,Baltic_Dry_Index
2015-03-09,568.0,568.0,568.0,568.0,0,Baltic_Dry_Index
2015-03-10,568.0,568.0,568.0,568.0,0,Baltic_Dry_Index
2015-03-11,565.0,565.0,565.0,565.0,0,Baltic_Dry_Index
2015-03-12,560.0,560.0,560.0,560.0,0,Baltic_Dry_Index
2015-03-13,562.0,562.0,562.0,562.0,0,Baltic_Dry_Index
2015-03-16,564.0,564.0,564.0,564.0,0,Baltic_Dry_Index
2015-03-17,568.0,568.0,568.0,568.0,0,Baltic_Dry_Index
2015-03-18,571.0,571.0,571.0,571.0,0,Baltic_Dry_Index
2015-03-19,584.0,584.0,584.0,584.0,0,Baltic_Dry_Index
2015-03-20,591.0,591.0,591.0,591.0,0,Baltic_Dry_Index
2015-03-23,594.0,594.0,594.0,594.0,0,Baltic_Dry_Index
2015-03-24,597.0,597.0,597.0,597.0,0,Baltic_Dry_Index
2015-03-25,598.0,598.0,598.0,598.0,0,Baltic_Dry_Index
2015-03-26,598.0,598.0,598.0,598.0,0,Baltic_Dry_Index
2015-03-27,596.0,596.0,596.0,596.0,0,Baltic_Dry_Index
2015-03-30,599.0,599.0,599.0,599.0,0,Baltic_Dry_Index
2015-03-31,602.0,602.0,602.0,602.0,0,Baltic_Dry_Index
2015-04-01,596.0,596.0,596.0,596.0,0,Baltic_Dry_Index
2015-04-02,588.0,588.0,588.0,588.0,0,Baltic_Dry_Index
2015-04-07,583.0,583.0,583.0,583.0,0,Baltic_Dry_Index
2015-04-08,580.0,580.0,580.0,580.0,0,Baltic_Dry_Index
2015-04-09,580.0,580.0,580.0,580.0,0,Baltic_Dry_Index
2015-04-10,580.0,580.0,580.0,580.0,0,Baltic_Dry_Index
2015-04-13,578.0,578.0,578.0,578.0,0,Baltic_Dry_Index
2015-04-14,581.0,581.0,581.0,581.0,0,Baltic_Dry_Index
2015-04-15,586.0,586.0,586.0,586.0,0,Baltic_Dry_Index
2015-04-16,593.0,593.0,593.0,593.0,0,Baltic_Dry_Index
2015-04-17,597.0,597.0,597.0,597.0,0,Baltic_Dry_Index
2015-04-20,598.0,598.0,598.0,598.0,0,Baltic_Dry_Index
2015-04-21,601.0,601.0,601.0,601.0,0,Baltic_Dry_Index
2015-04-22,600.0,600.0,600.0,600.0,0,Baltic_Dry_Index
2015-04-23,599.0,599.0,599.0,599.0,0,Baltic_Dry_Index
2015-04-24,600.0,600.0,600.0,600.0,0,Baltic_Dry_Index
2015-04-27,600.0,600.0,600.0,600.0,0,Baltic_Dry_Index
2015-04-28,601.0,601.0,601.0,601.0,0,Baltic_Dry_Index
2015-04-29,595.0,595.0,595.0,595.0,0,Baltic_Dry_Index
2015-04-30,591.0,591.0,591.0,591.0,0,Baltic_Dry_Index
2015-05-01,587.0,587.0,587.0,587.0,0,Baltic_Dry_Index
2015-05-05,580.0,580.0,580.0,580.0,0,Baltic_Dry_Index
2015-05-06,575.0,575.0,575.0,575.0,0,Baltic_Dry_Index
2015-05-07,573.0,573.0,573.0,573.0,0,Baltic_Dry_Index
2015-05-08,574.0,574.0,574.0,574.0,0,Baltic_Dry_Index
2015-05-11,578.0,578.0,578.0,578.0,0,Baltic_Dry_Index
2015-05-12,589.0,589.0,589.0,589.0,0,Baltic_Dry_Index
2015-05-13,634.0,634.0,634.0,634.0,0,Baltic_Dry_Index
2015-05-14,637.0,637.0,637.0,637.0,0,Baltic_Dry_Index
2015-05-15,634.0,634.0,634.0,634.0,0,Baltic_Dry_Index
2015-05-18,630.0,630.0,630.0,630.0,0,Baltic_Dry_Index
2015-05-19,620.0,620.0,620.0,620.0,0,Baltic_Dry_Index
2015-05-20,606.0,606.0,606.0,606.0,0,Baltic_Dry_Index
2015-05-21,592.0,592.0,592.0,592.0,0,Baltic_Dry_Index
2015-05-22,592.0,592.0,586.0,586.0,0,Baltic_Dry_Index
2015-05-26,584.0,584.0,584.0,584.0,0,Baltic_Dry_Index
2015-05-27,587.0,587.0,587.0,587.0,0,Baltic_Dry_Index
2015-05-28,588.0,588.0,588.0,588.0,0,Baltic_Dry_Index
2015-05-29,589.0,589.0,589.0,589.0,0,Baltic_Dry_Index
2015-06-01,589.0,589.0,589.0,589.0,0,Baltic_Dry_Index
2015-06-02,591.0,591.0,591.0,591.0,0,Baltic_Dry_Index
2015-06-03,598.0,598.0,598.0,598.0,0,Baltic_Dry_Index
2015-06-04,603.0,603.0,603.0,603.0,0,Baltic_Dry_Index
2015-06-05,610.0,610.0,610.0,610.0,0,Baltic_Dry_Index
2015-06-08,610.0,610.0,610.0,610.0,0,Baltic_Dry_Index
2015-06-09,612.0,612.0,612.0,612.0,0,Baltic_Dry_Index
2015-06-10,618.0,618.0,618.0,618.0,0,Baltic_Dry_Index
2015-06-11,629.0,629.0,629.0,629.0,0,Baltic_Dry_Index
2015-06-12,642.0,642.0,642.0,642.0,0,Baltic_Dry_Index
2015-06-15,656.0,656.0,656.0,656.0,0,Baltic_Dry_Index
2015-06-16,681.0,681.0,681.0,681.0,0,Baltic_Dry_Index
2015-06-17,725.0,725.0,725.0,725.0,0,Baltic_Dry_Index
2015-06-18,773.0,773.0,773.0,773.0,0,Baltic_Dry_Index
2015-06-19,779.0,779.0,779.0,779.0,0,Baltic_Dry_Index
2015-06-22,779.0,779.0,779.0,779.0,0,Baltic_Dry_Index
2015-06-23,790.0,790.0,790.0,790.0,0,Baltic_Dry_Index
2015-06-24,829.0,829.0,829.0,829.0,0,Baltic_Dry_Index
2015-06-25,829.0,829.0,829.0,829.0,0,Baltic_Dry_Index
2015-06-26,823.0,823.0,823.0,823.0,0,Baltic_Dry_Index
2015-06-29,813.0,813.0,813.0,813.0,0,Baltic_Dry_Index
2015-06-30,800.0,800.0,800.0,800.0,0,Baltic_Dry_Index
2015-07-01,794.0,794.0,794.0,794.0,0,Baltic_Dry_Index
2015-07-02,794.0,794.0,794.0,794.0,0,Baltic_Dry_Index
2015-07-03,805.0,805.0,805.0,805.0,0,Baltic_Dry_Index
2015-07-06,815.0,815.0,815.0,815.0,0,Baltic_Dry_Index
2015-07-07,830.0,830.0,830.0,830.0,0,Baltic_Dry_Index
2015-07-08,840.0,840.0,840.0,840.0,0,Baltic_Dry_Index
2015-07-09,853.0,853.0,853.0,853.0,0,Baltic_Dry_Index
2015-07-10,874.0,874.0,874.0,874.0,0,Baltic_Dry_Index
2015-07-13,900.0,900.0,900.0,900.0,0,Baltic_Dry_Index
2015-07-14,915.0,915.0,915.0,915.0,0,Baltic_Dry_Index
2015-07-15,951.0,951.0,951.0,951.0,0,Baltic_Dry_Index
2015-07-16,1009.0,1009.0,1009.0,1009.0,0,Baltic_Dry_Index
2015-07-17,1048.0,1048.0,1048.0,1048.0,0,Baltic_Dry_Index
2015-07-20,1067.0,1067.0,1067.0,1067.0,0,Baltic_Dry_Index
2015-07-21,1113.0,1113.0,1113.0,1113.0,0,Baltic_Dry_Index
2015-07-22,1118.0,1118.0,1118.0,1118.0,0,Baltic_Dry_Index
2015-07-23,1102.0,1102.0,1102.0,1102.0,0,Baltic_Dry_Index
2015-07-24,1086.0,1086.0,1086.0,1086.0,0,Baltic_Dry_Index
2015-07-27,1090.0,1090.0,1090.0,1090.0,0,Baltic_Dry_Index
2015-07-28,1094.0,1094.0,1094.0,1094.0,0,Baltic_Dry_Index
2015-07-29,1104.0,1104.0,1104.0,1104.0,0,Baltic_Dry_Index
2015-07-30,1100.0,1100.0,1100.0,1100.0,0,Baltic_Dry_Index
2015-07-31,1131.0,1131.0,1131.0,1131.0,0,Baltic_Dry_Index
2015-08-03,1151.0,1151.0,1151.0,1151.0,0,Baltic_Dry_Index
2015-08-04,1200.0,1200.0,1200.0,1200.0,0,Baltic_Dry_Index
2015-08-05,1222.0,1222.0,1222.0,1222.0,0,Baltic_Dry_Index
2015-08-06,1201.0,1201.0,1201.0,1201.0,0,Baltic_Dry_Index
2015-08-07,1200.0,1200.0,1200.0,1200.0,0,Baltic_Dry_Index
2015-08-10,1197.0,1197.0,1197.0,1197.0,0,Baltic_Dry_Index
2015-08-11,1162.0,1162.0,1162.0,1162.0,0,Baltic_Dry_Index
2015-08-12,1093.0,1093.0,1093.0,1093.0,0,Baltic_Dry_Index
2015-08-13,1046.0,1046.0,1046.0,1046.0,0,Baltic_Dry_Index
2015-08-14,1055.0,1055.0,1055.0,1055.0,0,Baltic_Dry_Index
2015-08-17,1063.0,1063.0,1063.0,1063.0,0,Baltic_Dry_Index
2015-08-18,1046.0,1046.0,1046.0,1046.0,0,Baltic_Dry_Index
2015-08-19,1031.0,1031.0,1031.0,1031.0,0,Baltic_Dry_Index
2015-08-20,1014.0,1014.0,1014.0,1014.0,0,Baltic_Dry_Index
2015-08-21,994.0,994.0,994.0,994.0,0,Baltic_Dry_Index
2015-08-24,968.0,968.0,968.0,968.0,0,Baltic_Dry_Index
2015-08-25,942.0,942.0,942.0,942.0,0,Baltic_Dry_Index
2015-08-26,918.0,918.0,918.0,918.0,0,Baltic_Dry_Index
2015-08-27,905.0,905.0,905.0,905.0,0,Baltic_Dry_Index
2015-08-28,903.0,903.0,903.0,903.0,0,Baltic_Dry_Index
2015-09-01,911.0,911.0,911.0,911.0,0,Baltic_Dry_Index
2015-09-02,906.0,906.0,906.0,906.0,0,Baltic_Dry_Index
2015-09-03,891.0,891.0,891.0,891.0,0,Baltic_Dry_Index
2015-09-04,875.0,875.0,875.0,875.0,0,Baltic_Dry_Index
2015-09-07,876.0,876.0,876.0,876.0,0,Baltic_Dry_Index
2015-09-08,873.0,873.0,873.0,873.0,0,Baltic_Dry_Index
